Microsoft (R) COFF/PE Dumper Version 11.00.60610.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    580198C6 time date stamp Sat Oct 15 10:47:34 2016
        0.00 version
        1502 ordinal base
        1207 number of functions
         944 number of names

    ordinal hint RVA      name

       1504    0 0002D340 ActivateKeyboardLayout
       1505    1 00094BA0 AddClipboardFormatListener
       1506    2 0001BCF0 AdjustWindowRect
       1507    3 0001F490 AdjustWindowRectEx
       1508    4 000916D0 AdjustWindowRectExForDpi
       1509    5 0009DF20 AlignRects
       1510    6 00094EE0 AllowForegroundActivation
       1511    7 00028960 AllowSetForegroundWindow
       1512    8 00020330 AnimateWindow
       1513    9 00091790 AnyPopup
       1514    A 0009D480 AppendMenuA
       1515    B 00098C50 AppendMenuW
       1516    C 00094EF0 AreDpiAwarenessContextsEqual
       1517    D 00094F30 ArrangeIconicWindows
       1518    E 0002D730 AttachThreadInput
       1519    F 000267C0 BeginDeferWindowPos
       1520   10 0002D740 BeginPaint
       1521   11 0002D750 BlockInput
       1522   12 00028570 BringWindowToTop
       1523   13 0009D4D0 BroadcastSystemMessage
       1524   14 0009D4D0 BroadcastSystemMessageA
       1525   15 0009D500 BroadcastSystemMessageExA
       1526   16 00098CA0 BroadcastSystemMessageExW
       1527   17 00098CD0 BroadcastSystemMessageW
       1528   18 0008C580 BuildReasonArray
       1529   19 0002D770 CalcMenuBar
       1530   1A 0002D780 CalculatePopupWindowPosition
       1531   1B 00093580 CallMsgFilter
       1532   1C 00093580 CallMsgFilterA
       1533   1D 0001C680 CallMsgFilterW
       1534   1E 00017CF0 CallNextHookEx
       1535   1F 00020090 CallWindowProcA
       1536   20 0000DE80 CallWindowProcW
       1537   21 00062550 CancelShutdown
       1538   22 00094F50 CascadeChildWindows
       1539   23 00080B90 CascadeWindows
       1540   24 00028D60 ChangeClipboardChain
       1541   25 000938C0 ChangeDisplaySettingsA
       1542   26 000938F0 ChangeDisplaySettingsExA
       1543   27 0009BBA0 ChangeDisplaySettingsExW
       1544   28 0009BCE0 ChangeDisplaySettingsW
       1545   29 00084B90 ChangeMenuA
       1546   2A 00084C40 ChangeMenuW
       1547   2B 0001B020 ChangeWindowMessageFilter
       1548   2C 0002D7A0 ChangeWindowMessageFilterEx
       1549   2D 00028700 CharLowerA
       1555   2E 00094BD0 CharLowerBuffA
       1556   2F 00094BF0 CharLowerBuffW
       1557   30 00094C10 CharLowerW
       1558   31 00022670 CharNextA
       1559   32 00094C30 CharNextExA
       1560   33 0002BE40 CharNextW
       1561   34 00028670 CharPrevA
       1562   35 00094C50 CharPrevExA
       1563   36 00094C70 CharPrevW
       1564   37 0008B720 CharToOemA
       1565   38 0008B770 CharToOemBuffA
       1566   39 0008B7C0 CharToOemBuffW
       1567   3A 0008B810 CharToOemW
       1568   3B 00028EE0 CharUpperA
       1569   3C 00094C90 CharUpperBuffA
       1570   3D 00094CB0 CharUpperBuffW
       1571   3E 0001AD10 CharUpperW
       1572   3F 0002A080 CheckDBCSEnabledExt
       1573   40 0001B700 CheckDlgButton
